2024-11-30 23:49:30 [main] INFO  c.m.t.t.k.s.TwitterToKafkaServiceApp - Starting TwitterToKafkaServiceApp on lizhuolundeMBP with PID 72756 (/Users/lizhuolun/vscode_work/java/microservice-demo/twitter-to-kafka-service/target/classes started by lizhuolun in /Users/lizhuolun/vscode_work/java/microservice-demo)
2024-11-30 23:49:30 [main] INFO  c.m.t.t.k.s.TwitterToKafkaServiceApp - No active profile set, falling back to default profiles: default
2024-11-30 23:49:30 [main] INFO  c.m.t.t.k.s.TwitterToKafkaServiceApp - Started TwitterToKafkaServiceApp in 0.343 seconds (JVM running for 0.576)
2024-11-30 23:49:30 [main] INFO  c.m.t.t.k.s.TwitterToKafkaServiceApp - APP starts...
2024-11-30 23:49:30 [main] INFO  c.m.t.t.k.s.TwitterToKafkaServiceApp - [Java, Microservices, Spring, Kafka, Elasticsearch]
2024-11-30 23:49:30 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2024-11-30 23:49:30 [main] ERROR o.s.boot.SpringApplication - Application run failed
java.lang.IllegalStateException: Failed to execute CommandLineRunner
	at org.springframework.boot.SpringApplication.callRunner(SpringApplication.java:798)
	at org.springframework.boot.SpringApplication.callRunners(SpringApplication.java:779)
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:322)
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1237)
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1226)
	at com.microservice.twitter.to.kafka.service.TwitterToKafkaServiceApp.main(TwitterToKafkaServiceApp.java:28)
Caused by: java.lang.IllegalStateException: Authentication credentials are missing. See http://twitter4j.org/en/configuration.html for details. See and register at http://apps.twitter.com/
	at twitter4j.TwitterBaseImpl.ensureAuthorizationEnabled(TwitterBaseImpl.java:219)
	at twitter4j.TwitterStreamImpl.filter(TwitterStreamImpl.java:325)
	at com.microservice.twitter.to.kafka.service.runner.impl.TwitterKafkaStreamRunner.addFilter(TwitterKafkaStreamRunner.java:50)
	at com.microservice.twitter.to.kafka.service.runner.impl.TwitterKafkaStreamRunner.start(TwitterKafkaStreamRunner.java:35)
	at com.microservice.twitter.to.kafka.service.TwitterToKafkaServiceApp.run(TwitterToKafkaServiceApp.java:35)
	at org.springframework.boot.SpringApplication.callRunner(SpringApplication.java:795)
	... 5 common frames omitted
2024-11-30 23:49:30 [main] INFO  c.m.t.t.k.s.r.i.TwitterKafkaStreamRunner - Closing twitter stream!
2024-11-30 23:51:48 [main] INFO  c.m.t.t.k.s.TwitterToKafkaServiceApp - Starting TwitterToKafkaServiceApp on lizhuolundeMBP with PID 72875 (/Users/lizhuolun/vscode_work/java/microservice-demo/twitter-to-kafka-service/target/classes started by lizhuolun in /Users/lizhuolun/vscode_work/java/microservice-demo)
2024-11-30 23:51:48 [main] INFO  c.m.t.t.k.s.TwitterToKafkaServiceApp - No active profile set, falling back to default profiles: default
2024-11-30 23:51:48 [main] INFO  c.m.t.t.k.s.TwitterToKafkaServiceApp - Started TwitterToKafkaServiceApp in 0.365 seconds (JVM running for 0.546)
2024-11-30 23:51:48 [main] INFO  c.m.t.t.k.s.TwitterToKafkaServiceApp - APP starts...
2024-11-30 23:51:48 [main] INFO  c.m.t.t.k.s.TwitterToKafkaServiceApp - [Java, Microservices, Spring, Kafka, Elasticsearch]
2024-11-30 23:51:48 [Twitter Stream consumer /  [1][initializing]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-11-30 23:51:48 [main] INFO  c.m.t.t.k.s.r.i.TwitterKafkaStreamRunner - Started filtering twitter stream for keywords [Java, Microservices, Spring, Kafka, Elasticsearch]
2024-11-30 23:51:48 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-11-30 23:51:48 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 250 milliseconds
2024-11-30 23:51:49 [Twitter Stream consumer /  [1][Waiting for 250 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-11-30 23:51:49 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-11-30 23:51:49 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 500 milliseconds
2024-11-30 23:51:49 [Twitter Stream consumer /  [1][Waiting for 500 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-11-30 23:51:49 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-11-30 23:51:49 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 1000 milliseconds
2024-11-30 23:51:50 [Twitter Stream consumer /  [1][Waiting for 1000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-11-30 23:51:51 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-11-30 23:51:51 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 2000 milliseconds
2024-11-30 23:51:53 [Twitter Stream consumer /  [1][Waiting for 2000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-11-30 23:51:53 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-11-30 23:51:53 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 4000 milliseconds
2024-11-30 23:51:57 [Twitter Stream consumer /  [1][Waiting for 4000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-11-30 23:51:57 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-11-30 23:51:57 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 8000 milliseconds
2024-11-30 23:52:05 [Twitter Stream consumer /  [1][Waiting for 8000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-11-30 23:52:05 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-11-30 23:52:05 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 16000 milliseconds
